110000,110000
320300,320000
654200,650000
441600,440000
330100,330000
410900,410000
360800,360000
220000,220000
211100,210000
410700,410000
610000,610000
130900,130000
441800,440000
430200,430000
340100,340000
341400,340000
640200,640000
620900,620000
220300,220000
632500,630000
330400,330000
140800,140000
440900,440000
530500,530000
610500,610000
410000,410000
350600,350000
621200,620000
371100,370000
411500,410000
640100,640000
533400,530000
433100,430000
520100,520000
522200,520000
360500,360000
150600,150000
441200,440000
420800,420000
440300,440000
421000,420000
513400,510000
540100,540000
411200,410000
320000,320000
533100,530000
451300,450000
511300,510000
371600,370000
430400,430000
370600,370000
341000,340000
230600,230000
510900,510000
320500,320000
210700,210000
420700,420000
360200,360000
150500,150000
321100,320000
430100,430000
652100,650000
370500,370000
440600,440000
610100,610000
542500,540000
140500,140000
411100,410000
810000,810000
210400,210000
450000,450000
150000,150000
511400,510000
510400,510000
622900,620000
130200,130000
522600,520000
230300,230000
500000,500000
420200,420000
341700,340000
230900,230000
140200,140000
120000,120000
542600,540000
510300,510000
620200,620000
220400,220000
370000,370000
511900,510000
450500,450000
310100,310000
442000,440000
331100,330000
445100,440000
630000,630000
210100,210000
150800,150000
130500,130000
440200,440000
520300,520000
653000,650000
340200,340000
542100,540000
431000,430000
130800,130000
350100,350000
230700,230000
513300,510000
211300,210000
530000,530000
420100,420000
340500,340000
654300,650000
431300,430000
460200,460000
441700,440000
441900,440000
360900,360000
211000,210000
620500,620000
220700,220000
410400,410000
530300,530000
340800,340000
632100,630000
232700,230000
330000,330000
460100,460000
430800,430000
530900,530000
340600,340000
220200,220000
640500,640000
620800,620000
140900,140000
441400,440000
330700,330000
440800,440000
150900,150000
410100,410000
610600,610000
231200,230000
350500,350000
445200,440000
411400,410000
652200,650000
330900,330000
530400,530000
640000,640000
610800,610000
152200,150000
210800,210000
520000,520000
131000,130000
320800,320000
421100,420000
522300,520000
152900,150000
441300,440000
360600,360000
320100,320000
654000,650000
621000,620000
222400,220000
430500,430000
510800,510000
370900,370000
451200,450000
511000,510000
632600,630000
341300,340000
360300,360000
652800,650000
150400,150000
321000,320000
710000,710000
440500,440000
610200,610000
421200,420000
420600,420000
411000,410000
430700,430000
140600,140000
320600,320000
450100,450000
451100,450000
511500,510000
510700,510000
371400,370000
370400,370000
500100,500000
341600,340000
230000,230000
420500,420000
360000,360000
210500,210000
522700,520000
130100,130000
632800,630000
140300,140000
152500,150000
370300,370000
650200,650000
532900,530000
511600,510000
411700,410000
620100,620000
210200,210000
450200,450000
310000,310000
820000,820000
630100,630000
532300,530000
130400,130000
420000,420000
140000,140000
440100,440000
340300,340000
530600,530000
150300,150000
321300,320000
450700,450000
532600,530000
230400,230000
130700,130000
231100,230000
410200,410000
350000,350000
211400,210000
620700,620000
361100,360000
431200,430000
611000,610000
371000,370000
542300,540000
623000,620000
220800,220000
510100,510000
620400,620000
220600,220000
410500,410000
350300,350000
422800,420000
330300,330000
632200,630000
533300,530000
530800,530000
141100,140000
340700,340000
350900,350000
640400,640000
430900,430000
371300,370000
520400,520000
410800,410000
460000,460000
320200,320000
445300,440000
441500,440000
330600,330000
652300,650000
330800,330000
211200,210000
610700,610000
220100,220000
410600,410000
350400,350000
610900,610000
210900,210000
450900,450000
131100,130000
340000,340000
522400,520000
360700,360000
341500,340000
640300,640000
450600,450000
610400,610000
621100,620000
231000,230000
512000,510000
370800,370000
511100,510000
430600,430000
632700,630000
341200,340000
341800,340000
421300,420000
652900,650000
360400,360000
150700,150000
320700,320000
652700,650000
420900,420000
440400,440000
610300,610000
330500,330000
540000,540000
140700,140000
411300,410000
371500,370000
370700,370000
360100,360000
451000,450000
510600,510000
130000,130000
210600,210000
532500,530000
230100,230000
341100,340000
371200,370000
140400,140000
320400,320000
440700,440000
530700,530000
230800,230000
511700,510000
411600,410000
542400,540000
510500,510000
620000,620000
430000,430000
370200,370000
450300,450000
210300,210000
230200,230000
420300,420000
150100,150000
532800,530000
430300,430000
320900,320000
130300,130000
140100,140000
450800,450000
440000,440000
150200,150000
321200,320000
653200,650000
650000,650000
331000,330000
510000,510000
620300,620000
220500,220000
130600,130000
210000,210000
450400,450000
451400,450000
542200,540000
410300,410000
350700,350000
230500,230000
620600,620000
361000,360000
650100,650000
520200,520000
653100,650000
370100,370000
511800,510000
513200,510000
431100,430000
530100,530000
632300,630000
350200,350000
330200,330000
371700,370000
350800,350000
141000,140000
340400,340000
