cid	is_parent	name	parent_cid
50018699	false	车用香水	50018698
50018702	false	车用香薰\/香膏	50018698
50018703	false	车用空气净化\/清新剂	50018698
50010593	false	车用炭类吸附品	50018698
50016310	false	香水补充液\/替芯	50018698
50016291	false	其他香水净化用品	50018698
50010896	false	空气降温剂	50018698
50108001	false	香水座	50018698
50010596	false	司机护目镜	50014522
50014570	false	急救包	50014522
50010597	false	安全带扣（已删除）	50014522
50017632	false	年检车贴	50014522
50015875	false	车用挂钩	50014522
261707	false	气压表\/胎压表	50014522
50012106	false	车用钥匙扣	50014522
50012107	false	车用钥匙包	50014522
50012111	false	方向盘助力器	50014522
50010599	false	车用灭火器	50014522
50012112	false	车用电子钟表	50014522
50016331	false	越野平衡仪	50014522
50012110	false	车用指南针\/指南球	50014522
50005817	false	酒精测试仪	50014522
50015536	false	多功能手电	50014522
50016325	false	车用纸巾盒\/套	50014522
50016324	false	车用纸巾	50014522
50012119	false	车用眼镜夹\/票据夹	50014522
50012120	false	车用水杯架\/手机座	50014522
50012121	false	车用笔记本架	50014522
50012122	false	车用衣服架	50014522
50012123	false	车用烟灰缸	50014522
50012127	false	驾驶证件套	50014522
50014647	false	其它驾车个人用品	50014522
50022753	false	汽车车标	50022749
50010665	false	汽车装饰贴	50022749
50012898	false	犀牛皮保护贴膜	50022749
50012891	false	车牌架\/牌照托	50022749
50010893	false	车用双面胶	50022749
50022881	false	其它外饰品	50022749
50022754	false	车门防护板\/防护条	50022750
50012889	false	汽车车衣	50022750
50008922	false	底盘装甲	50022750
50016076	false	玻璃防爆隔热膜	50022750
50012900	false	防撞胶条	50022750
50012890	false	晴雨挡	50022750
50004232	false	汽车防静电用品	50022750
50011823	false	防滑链	50022750
50019477	false	车用密封胶条	50022750
50014686	false	车身装饰条	50022751
50018706	false	汽车装饰灯	50022751
50016345	false	汽车灯罩框	50022751
50014695	false	碳纤维改装件	50022751
50012895	false	装饰性轮眉	50022751
50012902	false	尾喉\/消声器	50022751
50012896	false	门腕	50022751
50012919	false	其它加装\/装潢	50022751
50022882	false	灯眉	50022751
50022755	false	其它汽车防护用品	50022750
50108006	false	刹车卡钳罩	50022751
50016288	false	空气滤芯	50022759
50015525	false	机油滤芯	50022759
50016289	false	汽油滤芯	50022759
50010627	false	空调滤芯	50022759
50012868	false	玻璃升降器	50022760
50022800	false	车窗及其配件	50022760
50012867	false	天窗及配件	50022760
50015614	false	安全气囊\/气囊电脑	50022760
50014561	false	方向盘	50022760
50014694	false	排挡杆	50022760
50022801	false	原厂烟灰缸	50022760
50012104	false	扶手箱	50022760
50012872	false	座椅及附件	50022760
50018707	false	倒车镜\/后视镜	50022760
50022803	false	车内灯	50022764
50014577	false	车外灯	50022764
50018711	false	汽车灯泡	50022764
50011637	false	HID氙气灯	50022764
50016256	false	氙气灯安定器	50022764
50014563	false	汽车电瓶\/蓄电池	50018787
50015620	false	发电机	50018787
50015853	false	整流器	50018787
50011859	false	传感器	50018787
50022807	false	车用芯片	50018787
50015627	false	保险片	50018787
50018793	false	其它电路系统配件	50018787
50022810	false	发动机总成及部件	50018783
50022812	false	缸盖\/缸体	50018783
50015596	false	气缸及部件	50018783
50022816	false	活塞及部件	50018783
50022817	false	曲轴及部件	50018783
50015597	false	皮带	50018783
50015604	false	涨紧轮	50018783
50022823	false	气门部件	50018783
50022826	false	机油泵	50018783
50015618	false	启动马达	50018783
50018789	false	其它发动系统配件	50018783
50022831	false	进气总管	50022768
50022833	false	进气歧管	50022768
50022835	false	排气歧管	50022768
50012858	false	排气管	50022768
50016295	false	三元催化	50022768
50012866	false	增压器	50022768
50022837	false	波箱电脑	50022769
50015624	false	离合器总成	50022769
50022839	false	飞轮\/齿轮	50022769
50022842	false	变速箱\/波箱\/分动箱总成	50022769
50022844	false	油封	50022769
50014562	false	其他变速箱系统配件	50022769
50011914	false	汽车钥匙	50022772
50018709	false	中控锁	50022772
50010871	false	方向盘锁	50022772
50022846	false	其他汽车防盗系统	50022772
50022848	false	节温器	50018788
50015599	false	水泵	50018788
50015600	false	风扇	50018788
50015601	false	散热器\/冷凝器	50018788
50015471	false	压缩机及空调部件	50018788
50014834	false	水箱及水箱保护网	50018788
50018794	false	其它冷却系统配件	50018788
50022853	false	点火器	50022774
50012859	false	火花塞	50022774
50014560	false	点火线圈	50022774
50015617	false	分电器	50022774
50022854	false	其他点火系统配件	50022774
50025160	false	高压线	50022774
50022856	false	油箱	50022775
50012865	false	喷油嘴	50022775
50015594	false	油泵	50022775
50015602	false	其他燃油供给配件	50022775
50015622	false	制动器总成	50018785
50014566	false	刹车片	50018785
50022858	false	刹车油管	50018785
50015629	false	刹车盘\/刹车鼓	50018785
50022860	false	刹车泵（ABS）	50018785
50022862	false	刹车卡钳	50018785
50016297	false	真空助力器	50018785
50018791	false	其它制动系统配件	50018785
50022866	false	车架\/大梁\/车壳	50018786
50016307	false	前桥\/后桥	50018786
50016298	false	传动轴	50018786
50015626	false	半轴	50018786
50015611	false	轴承	50018786
50016308	false	桥壳	50018786
50015623	false	差速器	50018786
50014564	false	减震	50018786
50016305	false	汽车弹簧	50018786
50022870	false	上下摆臂	50018786
50022872	false	止推杆	50018786
50022874	false	摆臂球头	50018786
50018792	false	其它悬挂系统配件	50018786
50015610	false	方向机总成	50018784
50015609	false	方向助力泵	50018784
50015608	false	方向拉杆部件	50018784
50018790	false	其它转向系统配件	50018784
50010785	false	备用油箱	50022777
50018712	false	油箱盖	50022777
50010600	false	警示牌	50022777
50012904	false	备胎罩	50022777
50019006	false	电瓶搭火线	50022777
50011155	false	车轮锁\/车位锁	50022777
50012134	false	轮毂盖	50022777
50022756	false	防盗器配件	50022743
50011857	false	车载摄像头	50022743
50003800	false	倒车雷达	50022743
50011907	false	汽车防盗器	50022743
50022762	false	跟踪器	50022743
50004235	false	防瞌睡提醒器	50022743
50023120	false	行车记录仪	50022743
50025066	false	其他电子防盗配件	50022743
50022757	false	车载音乐配件	50022744
261713	false	汽车音箱\/低音炮	50022744
50008297	false	车载CD机	50022744
261710	false	车载MP3\/MP4	50022744
50003795	false	汽车喇叭\/高音头	50022744
50003796	false	汽车功放	50022744
50017907	false	车载碟盒	50022744
50008299	false	车载电脑\/准系统	50022744
50022878	false	车用显示器	50022744
50022879	false	车用头枕屏	50022744
50022883	false	其它汽车影音产品	50022744
50008298	false	车载数字电视盒	50022745
261709	false	电源转换器\/逆变器	50022745
50004234	false	车用点烟器	50022745
261703	false	车载蓝牙\/免提电话	50022745
50000119	false	电台\/对讲设备\/中继台	50022745
261705	false	车载吸尘器	50022745
261701	false	车载冷暖箱	50022745
50010892	false	汽车空调	50022745
50011156	false	车用电扇	50022745
261712	false	车用氧吧\/空气净化器	50022745
50004233	false	车载剃须刀	50022745
50011418	false	车载手机充电器	50022745
50011858	false	车载加热\/保温杯	50022745
50015467	false	车用电器配件	50022745
261706	false	车载充气泵	50022745
50014725	false	其它车用电器	50022745
261711	false	其它汽车电子用品	50022745
50018716	false	车载电子产品配件	50022745
50018713	false	车釉\/车漆镀膜	50014509
50002702	false	补漆笔	50014509
50018714	false	车蜡	50014509
50014614	false	抛光机\/封釉机	50014509
50014616	false	电烤枪	50014509
50018940	false	车用砂纸	50014509
50014617	false	刮板	50014509
260602	false	其它美容保养用品	50014509
50022887	false	抛光盘	50014509
50022888	false	打蜡海绵	50014509
50014621	false	汽车升降机	50014511
50014622	false	四轮定位仪	50014511
50014623	false	扒胎机	50014511
50014579	false	维修灯	50014511
50014624	false	轮胎平衡仪	50014511
50014625	false	氮气充气机	50014511
50016440	false	空气压缩机	50014511
50014571	false	千斤顶	50014511
50014899	false	其它汽车维修\/工具	50014511
50018717	false	拖车绳\/网\/绑带	50014511
50015864	false	安全锤工具	50014511
50018941	false	滤清磁铁	50014511
260605	false	玻璃水	50014507
50008924	false	防冻液	50014507
260607	false	机油添加剂	50014507
50010894	false	汽油添加剂	50014507
260212	false	汽油发动机机油	50014507
50016238	false	柴油发动机机油	50014507
50016283	false	齿轮油	50014507
50016284	false	变速箱油\/波箱油\/分动箱油	50014507
50017081	false	刹车\/助力油	50014507
50014603	false	其它汽车保养\/添加剂	50014507
50012857	false	节油器	50014507
50022986	false	齿轮油\/柴油添加剂	50014507
